HIF1A,hsa-miR-20a-5p
CXCR4,hsa-miR-146a-5p
RASGRP1,hsa-miR-21-5p
DNMT1,hsa-miR-148a-3p
TP53INP1,hsa-miR-93-5p
MIF,hsa-miR-451a
CREB1,hsa-miR-34b-5p
GRM7,hsa-miR-34a-5p
JAG1,hsa-miR-34a-5p
HDAC4,hsa-miR-29b-3p
CTNNBIP1,hsa-miR-29b-3p
COL4A2,hsa-miR-29b-3p
COL1A1,hsa-miR-29b-3p
HMGA2,hsa-miR-26a-5p
HMGA1,hsa-miR-26a-5p
CCNE2,hsa-miR-26a-5p
CCND2,hsa-miR-26a-5p
STMN1,hsa-miR-223-3p
LMO2,hsa-miR-223-3p
CDKN1B,hsa-miR-221-3p
BCL2L11,hsa-miR-221-3p
EZH2,hsa-miR-214-3p
FGFRL1,hsa-miR-210-3p
RAD52,hsa-miR-210-3p
CDC25A,hsa-miR-21-5p
BCL2,hsa-miR-21-5p
RTN4,hsa-miR-21-5p
RPS7,hsa-miR-21-5p
DERL1,hsa-miR-21-5p
JAG1,hsa-miR-21-5p
CCND1,hsa-miR-20a-5p
E2F1,hsa-miR-20a-5p
BMPR2,hsa-miR-20a-5p
BCL2,hsa-miR-204-5p
TUBB3,hsa-miR-200c-3p
BMI1,hsa-miR-200c-3p
HES1,hsa-miR-199b-5p
TSPAN3,hsa-miR-197-3p
WEE1,hsa-miR-195-5p
E2F3,hsa-miR-195-5p
CDK6,hsa-miR-195-5p
CCND1,hsa-miR-195-5p
GATA6,hsa-miR-181a-5p
ZNFX1,hsa-miR-17-5p
CCL1,hsa-miR-17-5p
GPR137B,hsa-miR-17-5p
NABP1,hsa-miR-17-5p
NPAT,hsa-miR-17-5p
YES1,hsa-miR-17-5p
BMI1,hsa-miR-16-5p
CDK1,hsa-miR-16-5p
HMGA1,hsa-miR-16-5p
CCNE1,hsa-miR-15b-5p
MEIS1,hsa-miR-155-5p
TAB2,hsa-miR-155-5p
CFH,hsa-miR-146a-5p
IRAK2,hsa-miR-146a-5p
BNIP3,hsa-miR-145-5p
KLF5,hsa-miR-145-5p
SOX2,hsa-miR-145-5p
KLF4,hsa-miR-145-5p
KRAS,hsa-miR-143-3p
ZEB2,hsa-miR-141-3p
ZEB1,hsa-miR-141-3p
SPRED1,hsa-miR-126-3p
PLK2,hsa-miR-126-3p
BMPR1B,hsa-miR-125b-5p
EIF4EBP1,hsa-miR-125b-5p
IGF1R,hsa-miR-122-5p
MYCN,hsa-miR-101-3p
ATXN1,hsa-miR-101-3p
EZH2,hsa-miR-101-3p
PLK1,hsa-miR-100-5p
MEF2A,hsa-miR-1-3p
CDK6,hsa-let-7a-5p
MYC,hsa-let-7a-5p
AKT2,hsa-miR-184
MUC1,hsa-miR-145-5p
APP,hsa-miR-101-3p
MECP2,hsa-miR-155-5p
SP1,hsa-miR-29b-3p
SOCS1,hsa-miR-155-5p
MYO6,hsa-miR-143-3p
MLH1,hsa-miR-155-5p
CCND1,hsa-miR-193b-3p
JAK1,hsa-miR-17-5p
STAT3,hsa-miR-20b-5p
HIF1A,hsa-miR-20b-5p
PTEN,hsa-miR-17-5p
CAB39,hsa-miR-451a
SMO,hsa-miR-125b-5p
TP53,hsa-miR-125b-5p
ACVR2A,hsa-miR-16-5p
CDKN1A,hsa-miR-93-5p
CDKN1A,hsa-miR-519d-3p
CDKN1A,hsa-miR-372-3p
CDKN1A,hsa-miR-299-5p
CDKN1A,hsa-miR-20b-5p
CDKN1A,hsa-miR-20a-5p
CDKN1A,hsa-miR-17-5p
RECK,hsa-miR-15b-5p
YES1,hsa-miR-145-5p
INPP5D,hsa-miR-155-5p
CDC42,hsa-miR-224-5p
WEE1,hsa-miR-503-5p
CCNE2,hsa-miR-503-5p
CCNE1,hsa-miR-503-5p
CHEK1,hsa-miR-503-5p
CDC25A,hsa-miR-503-5p
CDC25A,hsa-miR-424-5p
CHEK1,hsa-miR-424-5p
KIF23,hsa-miR-424-5p
WEE1,hsa-miR-424-5p
RAC1,hsa-miR-122-5p
TNC,hsa-miR-335-5p
SPRY2,hsa-miR-21-5p
CDK6,hsa-miR-29a-3p
CDK6,hsa-miR-29b-3p
MYC,hsa-miR-34a-5p
PLAG1,hsa-miR-424-5p
ESR1,hsa-miR-18a-5p
TRAF6,hsa-miR-146a-5p
IRAK1,hsa-miR-146a-5p
DNMT3A,hsa-miR-143-3p
RHOA,hsa-miR-122-5p
MYB,hsa-miR-34a-5p
ZEB2,hsa-miR-200b-3p
BAP1,hsa-miR-200b-3p
BAP1,hsa-miR-200c-3p
